map_key,source_key,display_name,source_url,license_name,attribution,source_date,notes
point_alpha_corridor,bkg_dgm200,BKG Digital Terrain Model DGM200,https://gdz.bkg.bund.de/index.php/default/digitale-geodaten/digitale-gelandemodelle/digitales-gelandemodell-gitterweite-200-m-dgm200.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,GeoBasis-DE / BKG 2020 (data modified),2019-12-31,Official 200 m elevations sampled into 250 m flat-top game hexes.
point_alpha_corridor,bkg_dlm250,BKG Digital Landscape Model DLM250,https://gdz.bkg.bund.de/index.php/default/webdienste/digitale-landschaftsmodelle/wfs-digitales-landschaftsmodell-1-250-000-wfs-dlm250.html,Datenlizenz Deutschland - Namensnennung - Version 2.0,GeoBasis-DE / BKG 2025 (data modified),2025-12-31,"Modern roads, waterways, settlements, woodland, marsh, rough ground, water, and transport structures clipped through the official WFS; requires 1985 review."
